geneID	FC_X	FC_Y
PBX1	1.42	-2.33
HVCN1	1.41	-0.9
MCTS2P	1.41	-0.52
RP11-291L22.9	1.41	0.33
RPL39P3	1.41	0
SCRIB	1.41	-1
THSD7A	1.41	-0.02
ADAMTS14	1.4	0.17
ARHGEF28	1.4	0.52
ARPC4-TTLL3	1.4	0.02
DYSF	1.4	1.18
YPEL1	1.4	-0.48
CDRT4	1.39	-0.51
ENDOG	1.39	-0.51
CD74	1.38	-0.1
GPR157	1.38	-1.3
LRRTM2	1.38	-0.36
SLC38A11	1.38	-2.84
AC013474.4	1.37	-0.53
MMRN2	1.37	0.06
MUC1	1.37	-0.33
PARP16	1.37	-1.45
ADAMTS5	1.36	1.2
FECH	1.36	-1.96
LPIN2	1.36	0.91
ADIRF	1.35	-0.32
SPIB	1.35	0
TGFB1	1.35	-0.05
ZNF726	1.35	-1.08
TLL2	1.34	-0.54
UQCRHL	1.34	-0.52
HOPX	1.33	-0.41
MDN1	1.33	1.02
RNF215	1.33	-0.91
ALDH5A1	1.32	-0.7
B3GALT5	1.32	0.75
CARD14	1.32	-2.25
CROCCP3	1.32	-0.07
PRR12	1.32	-0.75
SMAD1	1.32	-0.23
COL13A1	1.31	1.89
CCSER1	1.3	-0.03
IDE	1.3	0.12
NDRG4	1.3	0.25
RAB40A	1.3	-0.65
SOST	1.3	0.27
YWHAZP2	1.3	-0.05
ATP1B1	1.29	2.7
COX20P1	1.29	0.28
JAK3	1.29	-1.39
MTMR9LP	1.29	0.34
SLC13A4	1.29	1.36
AC037459.4	1.28	0.78
GGACT	1.28	-1.17
TBCE	1.28	0.5
ZNF474	1.28	0.37
ENPP3	1.27	-0.93
FAM20A	1.27	-0.52
FHAD1	1.27	-0.92
ALG14	1.26	-0.92
FAM156B	1.26	0.15
FRMPD4	1.26	0.63
LA16c-3G11.7	1.26	-0.45
NRXN3	1.26	-2.7
PLXNA3	1.26	-0.68
RARRES2P4	1.26	0
SEZ6L	1.26	0.64
CXCL2	1.25	0.44
CXCL8	1.25	-0.39
LHX9	1.25	1.14
LRRC15	1.25	1.63
MROH2A	1.25	-0.26
ST6GAL1	1.25	-1.19
FADS3	1.24	-0.92
GLDN	1.24	0.52
VHL	1.24	-1.22
ZIK1	1.24	0
ABCA1	1.23	0.78
ATP1A3	1.23	1.16
C4BPB	1.23	-0.41
EIF3CL	1.23	-0.27
HMGN2P17	1.23	-1.01
NOVA2	1.23	0.42
PKN3	1.23	-1.55
SNX32	1.23	-1.1
AK8	1.22	-1.09
CXorf56	1.22	0.27
NOX5	1.22	-0.14
PENK	1.22	0.78
RP11-124L9.1	1.22	1.51
SLC25A28	1.22	1.17
SNAI1	1.22	-2.13
SYT12	1.22	-0.63
TMEFF2	1.22	0.77
ZFP30	1.22	-1.43
BLNK	1.21	0.39
DCDC1	1.21	-0.95
FAM208B	1.21	-0.4
ICAM5	1.21	-1.79
RGPD2	1.21	0.65
RP11-231C14.4	1.21	0.01
ANKFN1	1.2	0.27
BTN3A3	1.2	0.09
CCBE1	1.2	3.83
CRYAB	1.2	-0.67
FLRT2	1.2	-0.3
LRRC8B	1.2	-2.79
NDST2	1.2	-1.72
RBMXL1	1.2	-1.37
RORA	1.2	-1.16
RP11-454F8.2	1.2	-0.61
RSPH4A	1.2	-0.79
TM4SF19-TCTEX1D2	1.2	-0.25
VARS2	1.2	-1.25
WASH1	1.2	0.59
CSGALNACT1	1.19	-2.43
MPZL2	1.19	-0.84
AC107982.4	1.18	0
CA9	1.18	-1.54
MSLN	1.18	0.05
ADRB2	1.17	0.61
CTC-451P13.1	1.17	-0.81
MAPK10	1.17	-1.47
PCDHGB7	1.17	0.78
PDPK2P	1.17	-0.59
PLEKHG6	1.17	-0.36
RP11-411B6.6	1.17	0.84
RPA4	1.17	-1.11
ACSL5	1.16	1.15
ADAM1A	1.16	0.5
CD274	1.16	-1.53
CSF2RB	1.16	2.16
GUSBP1	1.16	-0.99
IL22RA1	1.16	2.1
UPK3BL	1.16	-0.18
ADGRG6	1.15	-3.96
AGPAT4-IT1	1.15	-1.05
BNIP3P5	1.15	0.1
CFI	1.15	3.33
FTH1P8	1.15	-0.69
RIMBP3	1.15	0
RP11-169L17.3	1.15	-1.18
SERPINA3	1.15	-2.72
ASAH2	1.14	-1.13
CFD	1.14	-0.97
ELN	1.14	0.17
KRT18P5	1.14	-0.99
RGS4	1.14	2.16
RP11-566K11.2	1.14	-3.73
RP11-903H12.5	1.14	-0.04
RPL23P2	1.14	-0.67
TERB1	1.14	-1.05
WHAMMP2	1.14	-0.89
ZFHX2	1.14	-0.97
AQP6	1.13	-0.12
CPNE7	1.13	2.05
GDPD3	1.13	-1.65
GHR	1.13	-1.23
MLH1	1.13	-1.17
RP4-614O4.11	1.13	0.42
TMEM100	1.13	1.52
EFL1	1.12	-0.19
IL5RA	1.12	-1.83
PDE6C	1.12	-0.61
PPFIA4	1.12	-1.29
SHANK1	1.12	0.8
SIGLEC11	1.12	-0.68
AC110926.4	1.11	-0.98
ATP8B4	1.11	1.25
CTA-276O3.4	1.11	-0.38
IGSF22	1.11	-0.8
ITGA10	1.11	-1.25
OAS3	1.11	1
RP11-1305N21.3	1.11	-0.69
SCEL	1.11	0
SGPP2	1.11	-0.89
SNED1	1.11	1.68
ZNF208	1.11	0.05
C4orf26	1.1	-0.55
CARNS1	1.1	-0.06
DDX12P	1.1	-1.4
FGD5	1.1	0.37
GRIA2	1.1	0
RSL24D1P6	1.1	-0.69
ACTR3B	1.09	-0.7
C7orf57	1.09	-1.42
CCDC61	1.09	-0.15
DNM1P51	1.09	-0.54
ERAP2	1.09	-0.83
KCNC2	1.09	-0.51
KY	1.09	0
MIA2	1.09	-0.33
RNASEK-C17orf49	1.09	0
RPL7P47	1.09	-1.01
RYR3	1.09	-0.44
SBSPON	1.09	-0.69
UVSSA	1.09	-1.2
ABCD2	1.08	-0.47
CABP4	1.08	-1.65
CTC-471J1.10	1.08	0
CTDP1	1.08	-1.07
GDI2P2	1.08	1.22
IDI2	1.08	-0.46
KIF5C	1.08	1.67
LENG8	1.08	-0.81
LRRC32	1.08	0.39
LRRC63	1.08	0.21
MTCL1	1.08	1.14
NTN4	1.08	1.64
PCYT1B	1.08	-0.97
ADAMTS13	1.07	-1.34
CTC-281F24.3	1.07	-0.49
DNASE1L3	1.07	-0.51
EPHA4	1.07	-0.36
GLB1L2	1.07	-1.36
HECW1	1.07	-0.1
HMGB1P8	1.07	-0.53
HSP90AB2P	1.07	-0.99
IL7	1.07	0.69
SDCBP2	1.07	-1.34
TMEM184A	1.07	-0.35
ZNF491	1.07	-1.21
AC002398.9	1.06	-1.66
CTC-260F20.3	1.06	-0.44
GAS2L1	1.06	-0.64
IL2RG	1.06	-1.15
INCA1	1.06	0.11
LILRB4	1.06	0.35
SRPK3	1.06	0.24
TBC1D2B	1.06	-0.16
TRPM6	1.06	-0.48
TSPAN19	1.06	-1.53
WNK1	1.06	-0.32
BTBD18	1.05	-0.48
CHRNA1	1.05	-0.11
DNASE1	1.05	-1.19
FAM72C	1.05	-1.7
G6PC	1.05	-0.71
IMMP1L	1.05	-1.73
LAT2	1.05	-0.68
NPPA	1.05	-1.13
PLAC1	1.05	1.32
POLR2J2	1.05	-1.3
SPDYE7P	1.05	-0.22
TMCC3	1.05	-0.54
UBE2F-SCLY	1.05	-1.63
ASB5	1.04	2.22
CCNA1	1.04	-1.33
DOK6	1.04	-0.27
EFCAB10	1.04	-0.67
KRT18P4	1.04	-1.1
MMP19	1.04	1.99
PEAR1	1.04	0.58
PKD1L1	1.04	-0.42
RDH12	1.04	-0.67
RP11-326A19.5	1.04	0.4
SPDYE18	1.04	-0.6
SYTL1	1.04	0.59
TNPO1P1	1.04	-0.03
ZNF605	1.04	0.23
CTA-351J1.1	1.03	0.23
MYH7B	1.03	-0.25
NTS	1.03	-0.73
RPL7P1	1.03	-0.1
COX7CP1	1.02	-0.25
FREM1	1.02	-4.68
GIMAP1	1.02	0.12
MAST3	1.02	-1.73
NBPF25P	1.02	-1.25
PSG11	1.02	0.31
RP11-213G2.3	1.02	-0.81
RP11-47I22.4	1.02	-0.08
RP5-867C24.1	1.02	-0.85
SPIN3	1.02	-0.95
TBC1D20	1.02	-0.72
ZNF702P	1.02	-1.44
ANKS1A	1.01	-2.82
C10orf2	1.01	-1.01
C14orf105	1.01	-0.65
CBLN3	1.01	0.4
CHRM5	1.01	-0.42
COL11A2	1.01	-1.01
FRAS1	1.01	0.76
HIST1H4K	1.01	-0.56
IFI44L	1.01	5.04
LDB1	1.01	-1.93
OR7E94P	1.01	-0.19
PMS2P10	1.01	-1.3
PNMA2	1.01	-0.74
R3HDM4	1.01	-0.41
SLC25A1P5	1.01	-0.62
TAF12	1.01	-0.76
TMEM63B	1.01	-0.54
TMPRSS13	1.01	0.6
AGPS	1	-1.63
ANKRD20A7P	1	0.28
HEATR3	1	0.36
PAPD7	1	-0.25
TGFB2	1	0.41
CNNM1	0.99	1.93
GABRE	0.99	-0.68
KLRD1	0.99	-0.97
PLAC8L1	0.99	0
RNF43	0.99	-3.55
RNLS	0.99	0.61
SHMT1P1	0.99	-0.21
TRAC	0.99	0.89
USH2A	0.99	0.92
AC005154.7	0.98	-0.15
BMP8B	0.98	-2.66
CRYBB2	0.98	-0.26
DHDH	0.98	-0.25
DTNA	0.98	-2.08
FLT4	0.98	-1.03
GOLGA3	0.98	-0.2
GSTT2B	0.98	-0.58
MUC5AC	0.98	-0.22
MYO7A	0.98	-0.58
PLCB2	0.98	0.06
PRSS53	0.98	-0.85
SNRPGP15	0.98	-0.87
SPG11	0.98	-1.2
VSX1	0.98	-0.12
WNK4	0.98	0.88
AC244489.1	0.97	-0.5
ALDH1L1	0.97	-0.94
ARPIN	0.97	-0.88
CCR7	0.97	0
CD101	0.97	-0.44
CDH6	0.97	-0.15
CDKN2B	0.97	-1.12
CFB	0.97	4.04
DDX50P1	0.97	-0.57
DFNA5	0.97	0.59
DGKA	0.97	0.4
F2RL2	0.97	6.23
HMCN2	0.97	-0.61
KCNAB3	0.97	-1.06
MARK2	0.97	0.06
NES	0.97	-0.57
SV2C	0.97	-0.05
ZNF432	0.97	-0.6
ATP6V1B1	0.96	-1.06
CNDP1	0.96	-0.15
FAIM2	0.96	2.16
FAM71D	0.96	0.17
ITGB4	0.96	-1.44
NGEF	0.96	1.54
PDLIM1	0.96	1.68
PTPRD	0.96	-0.4
RP11-458D21.5	0.96	-0.35
SRGAP2D	0.96	-0.47
SUPT3H	0.96	0.15
TRIM7	0.96	-1.04
WBSCR28	0.96	1.06
ZNF239	0.96	0.48
CH17-408M7.1	0.95	-0.88
CPOX	0.95	-0.85
DCHS2	0.95	-0.1
IL17REL	0.95	1.34
LDLRAD2	0.95	-0.36
PHKG1	0.95	-0.25
TMEM181	0.95	0
TNFRSF10D	0.95	-0.32
WBP2NL	0.95	-0.12
ZFYVE28	0.95	-0.22
ZNF81	0.95	-0.69
AC010980.2	0.94	-0.02
AP1S3	0.94	0.57
APOF	0.94	-0.2
BEND7	0.94	0
CXorf36	0.94	-1.4
CYP2D6	0.94	-0.15
EPS15P1	0.94	-0.33
HNRNPA1P10	0.94	-0.42
PLPPR1	0.94	-0.34
PTPN2P1	0.94	-0.03
RP13-104F24.1	0.94	-0.91
RP6-74O6.2	0.94	-0.42
SH3RF3	0.94	2.87
SLC15A2	0.94	0.64
SLC5A9	0.94	-4.4
SRP54-AS1	0.94	-0.42
UBA7	0.94	-0.1
USP40	0.94	-0.52
ZHX1-C8orf76	0.94	-1.48
ZNF808	0.94	0.24
CHI3L2	0.93	-0.32
DOT1L	0.93	-0.35
EME2	0.93	-0.72
GPR137C	0.93	-0.74
IDO2	0.93	0.13
IL1R2	0.93	-0.07
KDM1B	0.93	1.53
KIAA1109	0.93	-0.03
M1AP	0.93	-1.58
MFSD4A	0.93	0.12
PZP	0.93	4.63
RPL7AP30	0.93	-0.37
SLC15A3	0.93	0.34
SLC30A8	0.93	0.04
SPCS2P4	0.93	0.63
TRAPPC3L	0.93	-0.36
VN1R1	0.93	-0.83
ANKRD18B	0.92	0.83
C11orf21	0.92	-0.79
COQ8B	0.92	-0.96
CSPG4P12	0.92	-1.25
CYP2C19	0.92	0.03
ITIH4	0.92	0.38
MGC39584	0.92	-1.51
POLR2A	0.92	-0.32
RP13-644M16.5	0.92	-0.19
SLC25A18	0.92	-0.7
TIRAP	0.92	-0.96
TMSB4XP6	0.92	0
ZNF667	0.92	-0.32
BST2	0.91	4.51
C17orf67	0.91	-0.87
CHI3L1	0.91	-0.51
CICP27	0.91	-1.41
COL17A1	0.91	-0.11
CXCL3	0.91	0.7
ECHDC2	0.91	1.06
FAM120A	0.91	-0.62
FAM131C	0.91	0
FOXL2NB	0.91	-1.1
KCNMB3	0.91	1.96
LAIR1	0.91	-0.67
RAPGEFL1	0.91	-1.19
RP1-152L7.5	0.91	-0.1
RP11-12J10.3	0.91	-0.42
RP11-274B21.3	0.91	-0.41
RP11-691N7.6	0.91	0.96
RP13-585F24.1	0.91	-1.48
TESPA1	0.91	-0.96
THAP12	0.91	-1.29
TUBBP1	0.91	0.39
ANO1	0.9	0
AQP2	0.9	2.15
ARHGAP35	0.9	-0.17
C1QTNF3-AMACR	0.9	0
CCDC110	0.9	-0.16
CLCNKA	0.9	0
DCLK1	0.9	1.51
EEF1A1P4	0.9	-1.07
HRH4	0.9	-0.97
MEIOB	0.9	0.06
NCAPD3	0.9	-1.4
OSR2	0.9	1.78
PNP	0.9	-0.02
PROCA1	0.9	-0.78
RP11-212D19.4	0.9	-0.73
RP11-77K12.5	0.9	0
RP13-228J13.5	0.9	-1.39
SLC12A8	0.9	6.07
SLC9A7	0.9	1.23
SMAD3	0.9	3.17
SPDYE10P	0.9	-0.48
STAG3L1	0.9	0.08
TNFAIP2	0.9	0.78
VPS45	0.9	-1.56
AC012513.4	0.89	-0.24
APOL3	0.89	2.62
ATE1-AS1	0.89	-0.53
CTD-2026D20.3	0.89	-0.06
ERCC5	0.89	-0.34
FANCC	0.89	0.6
GAL3ST4	0.89	-0.88
NCMAP	0.89	-0.6
PPP1R32	0.89	-0.2
RP11-167N24.3	0.89	-0.57
RP11-347C12.3	0.89	-0.79
RP11-795F19.5	0.89	-0.65
RP3-509L4.3	0.89	-0.05
RPL21P28	0.89	0.13
SCN3B	0.89	-0.52
SPDYE2B	0.89	-1.34
ZNF69	0.89	-0.63
AC078899.1	0.88	0.17
C3AR1	0.88	-0.05
IER5L	0.88	0.02
PABPC3	0.88	-1.19
PCDHGC5	0.88	1.9
PHLDA3	0.88	-0.9
RARRES2	0.88	0.64
RARRES3	0.88	1.52
RP11-778D9.4	0.88	-0.81
RPL13AP6	0.88	-0.51
S1PR1	0.88	1.39
SLC10A7	0.88	-0.64
TBX19	0.88	-0.78
TMEM158	0.88	2.05
TMEM262	0.88	-0.51
TTLL7	0.88	0.75
VWA3B	0.88	0.78
ZNF236	0.88	-1.51
ZNF544	0.88	0.08
ZNF90P3	0.88	-0.32
CCP110	0.87	0.19
CLNK	0.87	0.14
DLEU7	0.87	0.34
EIF2B5	0.87	-0.27
ERICH6	0.87	-0.47
FIG4	0.87	-1.42
HOXA4	0.87	-0.23
NPIPB7	0.87	-1.48
PCDHGB5	0.87	2.8
PIGN	0.87	-0.76
RAB5CP1	0.87	-0.2
RP11-1348G14.1	0.87	-0.4
RP11-27I1.4	0.87	-0.6
RP11-372E1.1	0.87	-0.49
SRCAP	0.87	-0.23
SYT17	0.87	0.17
VENTXP4	0.87	-0.68
ZNF282	0.87	-0.24
ZNF443	0.87	0.11
ZNF469	0.87	0.61
ZNF777	0.87	0.21
AC008072.1	0.86	0.15
ACTG1P14	0.86	0.61
BCL11A	0.86	-1.04
C5AR1	0.86	-0.07
CERKL	0.86	-0.37
FAM47E-STBD1	0.86	0.26
INO80B-WBP1	0.86	-2.26
ONECUT1	0.86	-0.88
PLCD3	0.86	1.03
PLEKHD1	0.86	-0.49
PMCHL1	0.86	-0.52
PTCH1	0.86	0.53
PTPRE	0.86	0.53
RPS4XP5	0.86	-0.1
SERTAD1	0.86	0.72
SH2D4A	0.86	1.53
SIPA1	0.86	0.78
SLC16A6P1	0.86	-0.08
TTYH1	0.86	-0.51
ZCWPW1	0.86	-0.94
AIMP1	0.85	-0.63
AP003068.18	0.85	-0.92
ATG9B	0.85	-2.12
CDK15	0.85	2.99
EIF4A1P10	0.85	0.04
FBLN2	0.85	0.64
GRB7	0.85	0
IGLV1-51	0.85	-0.48
KCNMB4	0.85	0.85
KLHL25	0.85	-0.55
LYPD5	0.85	0.2
MEIG1	0.85	-0.52
MMP3	0.85	0.39
MOB3C	0.85	0.11
MTUS2	0.85	0.71
NTRK3	0.85	0.87
PAQR5	0.85	-0.5
RP11-397E7.4	0.85	0
RP11-466F5.6	0.85	-1.62
RPL13P	0.85	0
SLC45A1	0.85	1.07
TTLL9	0.85	-0.06
XAF1	0.85	2.37
ZNF48	0.85	0.5
ABCA7	0.84	0.31
ADAM11	0.84	-0.5
ADAMTS6	0.84	0.62
ANKEF1	0.84	1.49
C17orf78	0.84	-0.21
CCDC7	0.84	-0.7
CEACAM19	0.84	-0.86
FAM179B	0.84	-0.6
GRAMD1B	0.84	0.4
GTPBP2	0.84	-1.02
IGFN1	0.84	4.17
IL20RB	0.84	0.7
KCNV1	0.84	-0.78
MYCT1	0.84	-0.57
NELL2	0.84	-1.66
NLGN3	0.84	-0.56
PLD6	0.84	-0.57
RP11-631M6.2	0.84	-0.75
RTEL1-TNFRSF6B	0.84	-1.78
SLC22A23	0.84	-0.59
SMURF1	0.84	-0.31
SPTBN4	0.84	-0.07
TUBB8P1	0.84	0.55
ZFP69	0.84	-0.31
ZNF772	0.84	0.3
AQP3	0.83	1.56
BACH2	0.83	-2.01
CHRNE	0.83	0
COL8A1	0.83	1.44
COL9A2	0.83	-0.25
CYP4F11	0.83	-0.36
DENND4B	0.83	-0.55
HCST	0.83	-0.29
HSPB6	0.83	1.48
MTMR7	0.83	-0.7
OASL	0.83	3.8
RP11-252A24.2	0.83	-0.91
RP11-927P21.9	0.83	0.07
SCN1B	0.83	-0.5
SEC63P1	0.83	0.22
SIRT7	0.83	-0.57
SLC26A1	0.83	-0.05
SNX9	0.83	2.05
TCF23	0.83	-0.39
TMC5	0.83	-0.44
ZNF132	0.83	0.15
CSAG4	0.82	-0.2
CTD-2017C7.3	0.82	-0.86
EP300	0.82	-0.46
ERCC6L2	0.82	0.33
GCKR	0.82	-0.62
KEL	0.82	-0.5
OBSCN	0.82	-0.71
P2RY11	0.82	-1.25
PCYOX1L	0.82	-0.63
PPARGC1B	0.82	-0.82
PTGES3L-AARSD1	0.82	-1.08
RP11-531F16.3	0.82	-0.72
SEMA3E	0.82	-0.93
SUSD5	0.82	2.21
TNFSF10	0.82	0.21
VASH2	0.82	1.08
ZNF214	0.82	-0.53
ZNF430	0.82	0.21
ACTL8	0.81	1.18
ALS2	0.81	0.9
ASB18	0.81	-1.92
CCDC154	0.81	-1.5
CDK8	0.81	0.04
DDX20	0.81	0.78
DOK3	0.81	-0.44
FAM86DP	0.81	-1.52
FIBCD1	0.81	0.15
HLA-DMB	0.81	0.23
LLNLF-173C4.2	0.81	0.2
MSANTD3-TMEFF1	0.81	-1.39
OAS2	0.81	3.89
PYHIN1	0.81	-0.74
RAPGEF5	0.81	0.41
RP11-1016B18.1	0.81	-0.68
RP11-165E7.1	0.81	-0.92
RP11-290H9.2	0.81	0
RP11-457M11.6	0.81	0.17
RP11-598P20.5	0.81	0
RP11-745O10.4	0.81	-0.94
RP11-958N24.1	0.81	-0.24
RP4-635E18.9	0.81	0
SLC25A38	0.81	-1.58
SNURF	0.81	-0.77
SUN2	0.81	-0.49
TSPAN12	0.81	0.66
ABCG8	0.8	-0.54
ACTG1P21	0.8	0.17
AKR1B10	0.8	0.65
C1orf204	0.8	-0.2
C2orf27A	0.8	-0.05
CCDC18	0.8	0.36
FAM133A	0.8	1.44
HOGA1	0.8	-1.39
KCND3	0.8	3.85
KCNH5	0.8	0
MGAT4C	0.8	0.33
MID1	0.8	0.38
MMP1	0.8	2.11
OLFML1	0.8	-0.37
QRFP	0.8	0
RP5-994D16.11	0.8	-0.51
RPL18AP3	0.8	-1.35
SLC11A1	0.8	-0.31
SMG1P4	0.8	-1
TRIM22	0.8	0.39
TRIM47	0.8	-0.9
AGT	0.79	2.07
ANKRD31	0.79	-0.23
APOL1	0.79	1.92
ARHGEF25	0.79	-0.89
ATP8B2	0.79	0.32
ATP8B3	0.79	1.42
COL4A2	0.79	1.2
COL5A1	0.79	5.64
DNM1P46	0.79	0.72
EVI2B	0.79	1.35
FAM160A1	0.79	0.86
GBP2	0.79	1.78
HOXC4	0.79	-0.84
LEMD1	0.79	-1.56
MEFV	0.79	0.77
NPR3	0.79	0.96
PRORSD1P	0.79	-0.26
RAB3B	0.79	-0.98
RANBP3L	0.79	1.41
RNF208	0.79	-1.5
RP11-229P13.2	0.79	0.53
RP11-438J1.1	0.79	-0.64
RP11-804F13.2	0.79	0
RPS3AP49	0.79	0
SGK494	0.79	-0.78
SHOX	0.79	-0.32
SNRPGP14	0.79	-0.65
TLE6	0.79	-1.93
ZNF552	0.79	-0.55
ABI3BP	0.78	5.07
ADAM8	0.78	-1.29
AGGF1P10	0.78	-0.25
ANKRD19P	0.78	0.34
AP002884.2	0.78	-0.68
BATF3	0.78	0.91
C9orf152	0.78	0
CATSPER2P1	0.78	-0.7
CELF5	0.78	-0.03
CLEC4C	0.78	-0.77
DNER	0.78	2.82
FAM221B	0.78	-0.3
FOLR3	0.78	3.65
FOSB	0.78	0.16
GPRASP2	0.78	-0.37
GSTT2	0.78	-1.01
LRRC8E	0.78	0.63
MAFK	0.78	0.87
NAT16	0.78	-0.52
NPIPB4	0.78	-0.37
PDPN	0.78	-0.62
POLG	0.78	-0.88
PTPN7	0.78	0.07
RALGAPA1P1	0.78	-0.28
RP11-32B5.1	0.78	-0.08
RP11-490H24.5	0.78	0
RP3-337H4.10	0.78	0
SAC3D1	0.78	-0.37
TCN2	0.78	-0.28
TEKT4P2	0.78	0.89
TNC	0.78	5.01
TPRG1	0.78	-0.58
TTTY15	0.78	-0.71
AC004754.3	0.77	-0.71
AC012512.1	0.77	-1.11
ASIC4	0.77	-0.38
B3GNT6	0.77	0.09
CCDC148	0.77	0.95
FTLP3	0.77	0.38
HIC1	0.77	-0.86
JCHAIN	0.77	-0.08
KCNK15	0.77	0.28
KCP	0.77	0.72
MAGIX	0.77	-0.69
METTL7B	0.77	-0.85
MTSS1	0.77	3.24
RP11-12M9.4	0.77	-0.31
RP11-320L11.2	0.77	0.24
RP11-507M3.1	0.77	-0.64
ZIC4	0.77	-0.72
CHD7	0.76	0.32
FBN1	0.76	4.69
KIAA1462	0.76	3.38
LOX	0.76	-0.24
MDM1	0.76	-0.19
MTCYBP32	0.76	0.17
MYO1F	0.76	-0.98
NHLRC4	0.76	0.17
OR4D1	0.76	-0.09
OR7E126P	0.76	0.77
OR7E162P	0.76	-0.58
PTMAP5	0.76	-0.55
RP11-30L15.4	0.76	-1.24
RP11-43D4.2	0.76	-0.66
RP11-79P5.10	0.76	-0.88
TP63	0.76	-1.31
UBE2Q2L	0.76	-1.59
USP6	0.76	-0.07
ADAMTS15	0.75	4.69
AP006222.2	0.75	-0.76
C2CD2	0.75	0.15
CCDC189	0.75	-0.98
CDH1	0.75	-1.89
CLIC2	0.75	0.99
EDN1	0.75	1.03
FAM131B	0.75	0
FAT4	0.75	2.4
GOLGA6L4	0.75	-0.88
GPR78	0.75	-0.29
HLX	0.75	0
IL18BP	0.75	1.89
IRF6	0.75	0.01
LRRD1	0.75	-0.69
MED12	0.75	-0.85
NXNL2	0.75	-0.35
OLA1P2	0.75	0.04
OLFML2B	0.75	5.61
OR10Y1P	0.75	1.55
PCDHA3	0.75	-2.27
PKD1L2	0.75	0.06
RBPMS	0.75	1.05
ROPN1	0.75	-3.22
RP11-44D5.1	0.75	-0.42
RP11-761N21.2	0.75	-1.81
RPL4P4	0.75	-0.55
SERHL	0.75	0.48
SERPINB10	0.75	-0.42
SPDYA	0.75	-0.27
TFEC	0.75	0.05
TVP23C-CDRT4	0.75	0.05
TYRO3P	0.75	-0.37
WDR26	0.75	-0.59
ADAP2	0.74	-1.63
CMIP	0.74	-0.58
COL1A2	0.74	3.68
GOLGA8J	0.74	-0.7
GPR183	0.74	-0.48
HMGB1P3	0.74	0.02
