"geneID"	"LogFC"
"CFI"	1.37
"GGACT"	1.37
"LONRF3"	1.37
"RP4-583P15.15"	1.37
"TAP2"	1.37
"ANO7L1"	1.36
"AZIN2"	1.36
"ENPP2"	1.36
"FKBP5"	1.36
"PLEKHA6"	1.36
"SPATA4"	1.36
"AKR1C3"	1.35
"GGT5"	1.35
"GUSBP1"	1.35
"HS3ST3B1"	1.35
"IFITM1"	1.35
"SMIM3"	1.35
"VWF"	1.35
"GABRG3"	1.34
"ORAI1"	1.34
"SETDB1"	1.34
"SGK223"	1.34
"TFCP2"	1.34
"ABCA1"	1.33
"KCTD16"	1.33
"KIF28P"	1.33
"PHYHIP"	1.33
"SPDYE7P"	1.33
"TNFRSF10C"	1.33
"CLIP3"	1.32
"RP11-724O16.1"	1.32
"SERPINA3"	1.32
"ADAMTS3"	1.31
"ATP6V1C2"	1.31
"BACE1"	1.31
"CCNJL"	1.31
"DTX3"	1.31
"HOXA7"	1.31
"MIA-RAB4B"	1.31
"RP11-53B2.2"	1.31
"TMED7-TICAM2"	1.31
"VDR"	1.31
"OAS3"	1.3
"RAB39B"	1.3
"RP11-505K9.4"	1.3
"RP3-461P17.10"	1.3
"SEMA4A"	1.3
"SFMBT2"	1.3
"FAM134B"	1.29
"FAM92A1P2"	1.29
"FCGBP"	1.29
"GDF6"	1.29
"KCNN4"	1.29
"NTRK2"	1.29
"STON1-GTF2A1L"	1.29
"EPB41L1"	1.28
"HGF"	1.28
"ITGA11"	1.28
"LRRC8B"	1.28
"RP11-566K11.5"	1.28
"SCG2"	1.28
"SLC35A3"	1.28
"CLDN23"	1.27
"COL5A1"	1.27
"CPZ"	1.27
"RP11-341G5.2"	1.27
"DLG2"	1.26
"ITPKA"	1.26
"KRT86"	1.26
"RFX7"	1.26
"RP11-176H8.1"	1.26
"SLC2A5"	1.26
"GIGYF1"	1.25
"GOLGA8T"	1.25
"PIK3C2B"	1.25
"COL15A1"	1.24
"DSEL"	1.24
"KLHDC7B"	1.24
"MTUS2"	1.24
"NUPR2"	1.24
"PCBP3"	1.24
"PTGS1"	1.24
"VCAM1"	1.24
"ARHGAP26"	1.23
"C3"	1.23
"MAP3K5"	1.23
"NBPF26"	1.23
"PDGFB"	1.23
"PNMA2"	1.23
"RARS2"	1.23
"RGL4"	1.23
"ARHGAP23"	1.22
"BMP8B"	1.22
"CLCA2"	1.22
"COLEC12"	1.22
"GPR135"	1.22
"IL34"	1.22
"RGS7"	1.22
"RP3-486I3.7"	1.22
"STS"	1.22
"SYS1-DBNDD2"	1.22
"ZNF177"	1.22
"FAM227A"	1.21
"CACNB4"	1.2
"CORO6"	1.2
"MGLL"	1.2
"NKAPP1"	1.2
"PI4KAP1"	1.2
"PLAU"	1.2
"SH3TC1"	1.2
"EHD2"	1.19
"IL33"	1.19
"PMS2"	1.19
"RPL10P13"	1.19
"SLC5A2"	1.19
"STC2"	1.19
"TNFRSF19"	1.19
"TSLP"	1.19
"C14orf159"	1.18
"CLCN4"	1.18
"CXADRP3"	1.18
"FAM185BP"	1.18
"ACY3"	1.17
"CTD-2410N18.4"	1.17
"EEFSEC"	1.17
"INSIG1"	1.17
"RAD21L1"	1.17
"GDF15"	1.16
"MSC"	1.16
"ROM1"	1.16
"RP11-744K17.8"	1.16
"SLC7A5P1"	1.16
"SPRED3"	1.16
"ASIC5"	1.15
"CMAHP"	1.15
"COL8A1"	1.15
"FAM167A"	1.15
"FAM208B"	1.15
"FAM86DP"	1.15
"GMDS"	1.15
"LRRK2"	1.15
"TNNT2"	1.15
"AC011330.5"	1.14
"ARL9"	1.14
"ATP7A"	1.14
"ATXN7L2"	1.14
"ETV4"	1.14
"FAM26E"	1.14
"NOVA2"	1.14
"PTGES3L-AARSD1"	1.14
"RPL38P4"	1.14
"SUSD1"	1.14
"TGFB3"	1.14
"WAS"	1.14
"AC013474.4"	1.13
"FAM78A"	1.13
"FTH1P10"	1.13
"KAT6B"	1.13
"LA16c-306E5.2"	1.13
"PODNL1"	1.13
"RNF207"	1.13
"ST6GAL2"	1.13
"ADAMTSL4"	1.12
"ASB18"	1.12
"FTCD"	1.12
"HSPA1L"	1.12
"IFITM2"	1.12
"KIAA1217"	1.12
"OGFRL1"	1.12
"TRGV7"	1.12
"BST2"	1.11
"IFI30"	1.11
"PLAC8L1"	1.11
"PNPLA3"	1.11
"PRICKLE1"	1.11
"TMEM87B"	1.11
"UPB1"	1.11
"ADAMTS5"	1.1
"ADIRF"	1.1
"ANPEP"	1.1
"BTBD8"	1.1
"CDC42EP1"	1.1
"FSTL4"	1.1
"GDF5"	1.1
"GLIS2"	1.1
"HIST1H3E"	1.1
"MAPK10"	1.1
"PDE7B"	1.1
"PDGFD"	1.1
"STAG3"	1.1
"TCEA3"	1.1
"ACP5"	1.09
"ARHGAP20"	1.09
"CPNE7"	1.09
"DNA2"	1.09
"FBXO36"	1.09
"IL12RB1"	1.09
"ITGB2"	1.09
"LRRC6"	1.09
"PRDM8"	1.09
"PRH2"	1.09
"PTGES"	1.09
"RP11-133N21.7"	1.09
"RP11-619A10.1"	1.09
"SRP9P1"	1.09
"TRPS1"	1.09
"ALDH5A1"	1.08
"ATRIP"	1.08
"CCR1"	1.08
"DCLK1"	1.08
"FPGT-TNNI3K"	1.08
"GHRL"	1.08
"PLAC9"	1.08
"PRR7"	1.08
"TACR1"	1.08
"AC002398.9"	1.07
"AS3MT"	1.07
"CTSW"	1.07
"DASS-161H22.6"	1.07
"ENPP3"	1.07
"FTH1P23"	1.07
"HIST1H2BE"	1.07
"IGFBP7"	1.07
"MMP9"	1.07
"RP1-7G5.5"	1.07
"ZNF579"	1.07
"ANKRD31"	1.06
"ARMCX1"	1.06
"CLIC2"	1.06
"EPN3"	1.06
"FAP"	1.06
"GALNT12"	1.06
"ITPKC"	1.06
"MRC2"	1.06
"MSLN"	1.06
"MT1E"	1.06
"SYNPR"	1.06
"XXbac-B562F10.11"	1.06
"ZMYND12"	1.06
"AP002884.2"	1.05
"CCDC54"	1.05
"CRTAM"	1.05
"CYP27B1"	1.05
"DNAH6"	1.05
"FAM107A"	1.05
"HSD17B2"	1.05
"ITPR1"	1.05
"SPON2"	1.05
"TG"	1.05
"TTLL13P"	1.05
"USP41"	1.05
"AC004076.7"	1.04
"BATF"	1.04
"C4A"	1.04
"CGN"	1.04
"FAM157A"	1.04
"MISP"	1.04
"MMP2"	1.04
"PKDCC"	1.04
"THEMIS2"	1.04
"ALPP"	1.03
"BLK"	1.03
"C22orf46"	1.03
"CAPN8"	1.03
"CRYBB2"	1.03
"EGFR"	1.03
"ELMO3"	1.03
"ENTPD1"	1.03
"EPM2A"	1.03
"EPSTI1"	1.03
"IGFBP2"	1.03
"PCDH12"	1.03
"PDE8B"	1.03
"PURG"	1.03
"RNF43"	1.03
"RP11-439C15.6"	1.03
"SENP8"	1.03
"SLC15A3"	1.03
"DDIT4"	1.02
"DHCR7"	1.02
"FGFR1"	1.02
"GDAP1L1"	1.02
"GPR4"	1.02
"GRM7"	1.02
"L3MBTL4"	1.02
"POLR2J4"	1.02
"SERTAD4"	1.02
"SPAG8"	1.02
"SPOCK2"	1.02
"TVP23C"	1.02
"ZNF45"	1.02
"AGT"	1.01
"PENK"	1.01
"RPS4XP5"	1.01
"RPSAP41"	1.01
"ZNF592"	1.01
"ANKS6"	1
"CARD6"	1
"DAPK2"	1
"GPR1"	1
"MFAP4"	1
"OSR1"	1
"PRRT1"	1
"RP11-32B5.1"	1
"TMIGD2"	1
"USP38"	1
"XAF1"	1
"APBA2"	0.99
"ASIP"	0.99
"CCL20"	0.99
"FAM229A"	0.99
"FAM8A1"	0.99
"GLIS3"	0.99
"GUCY1A2"	0.99
"KCNE4"	0.99
"LSS"	0.99
"NUAK2"	0.99
"PLA2G2A"	0.99
"PTPRO"	0.99
"RBM47"	0.99
"RPL7P24"	0.99
"RUNX2"	0.99
"SIGLEC15"	0.99
"SNURF"	0.99
"STEAP3"	0.99
"TTC39C"	0.99
"ZC4H2"	0.99
"ZHX2"	0.99
"ARHGAP9"	0.98
"ASIC4"	0.98
"CDH24"	0.98
"CYTL1"	0.98
"GLTPD2"	0.98
"HCG22"	0.98
"HTATIP2"	0.98
"ICOSLG"	0.98
"LACC1"	0.98
"MAGEA6"	0.98
"PECAM1"	0.98
"RP11-180M15.7"	0.98
"RPS6KA2"	0.98
"SMPX"	0.98
"STARD4"	0.98
"TTLL10"	0.98
"UGT3A2"	0.98
"CEBPB"	0.97
"CFB"	0.97
"CFTR"	0.97
"DUSP27"	0.97
"GLT8D2"	0.97
"KDM1A"	0.97
"LAMA3"	0.97
"LYPD3"	0.97
"MAP7"	0.97
"MMP19"	0.97
"NFE2"	0.97
"OCA2"	0.97
"PDGFRL"	0.97
"SCN3A"	0.97
"THBS3"	0.97
"TNFRSF1B"	0.97
"WNT5A"	0.97
"ARHGAP6"	0.96
"B3GNT4"	0.96
"B9D2"	0.96
"BCAT1"	0.96
"CDHR3"	0.96
"CHST3"	0.96
"HNF4G"	0.96
"MPZL3"	0.96
"NFAM1"	0.96
"PMS2P9"	0.96
"RBM41"	0.96
"RP11-44D5.1"	0.96
"SLC1A5"	0.96
"SLC7A11"	0.96
"TCF21"	0.96
"TFR2"	0.96
"TSC22D3"	0.96
"VIPR1"	0.96
"ABLIM2"	0.95
"CLASRP"	0.95
"CYTH4"	0.95
"FAM53A"	0.95
"GSTT2B"	0.95
"NAP1L1P1"	0.95
"PPARG"	0.95
"RAB17"	0.95
"RP11-603J24.9"	0.95
"SPATA13"	0.95
"TMEM256P2"	0.95
"ALPK2"	0.94
"AP3D1"	0.94
"C11orf16"	0.94
"FAIM2"	0.94
"FRMD7"	0.94
"HMGA1P1"	0.94
"LUM"	0.94
"MID1"	0.94
"PC"	0.94
"PPP1R1C"	0.94
"PRR12"	0.94
"RP11-1212A22.1"	0.94
"RP11-357P18.2"	0.94
"S100A4"	0.94
"SH3PXD2B"	0.94
"SLC10A3"	0.94
"UBA7"	0.94
"ACTL8"	0.93
"C20orf144"	0.93
"CCDC102B"	0.93
"IRF1"	0.93
"KCNQ2"	0.93
"LTBP2"	0.93
"MCRIP2P1"	0.93
"OSMR"	0.93
"PAMR1"	0.93
"PFN4"	0.93
"RP11-251G23.2"	0.93
"RP11-809N15.3"	0.93
"SLC7A2"	0.93
"TLR1"	0.93
"TRIM61"	0.93
"VWA2"	0.93
"BOK"	0.92
"COL16A1"	0.92
"EVL"	0.92
"FAM13B"	0.92
"FHL1"	0.92
"HSPE1-MOB4"	0.92
"ITGA7"	0.92
"KDR"	0.92
"PAOX"	0.92
"PCDHB10"	0.92
"RGPD1"	0.92
"RP11-216L13.21"	0.92
"RP11-259G18.1"	0.92
"SMPD3"	0.92
"UBE2FP1"	0.92
"UCP2"	0.92
"ADAT2"	0.91
"CHST1"	0.91
"CTD-3088G3.8"	0.91
"CXCL3"	0.91
"EDIL3"	0.91
"EHBP1L1"	0.91
"ETS2"	0.91
"FAM198A"	0.91
"GFRA2"	0.91
"GNGT1"	0.91
"HPCAL4"	0.91
"KIAA1644"	0.91
"PHLDA2"	0.91
"RGL1"	0.91
"RP11-686D22.7"	0.91
"RPL23AP1"	0.91
"SLC9A9"	0.91
"U82695.9"	0.91
"XXbac-BPG246D15.9"	0.91
"Z69890.1"	0.91
"C17orf96"	0.9
"CES4A"	0.9
"CPED1"	0.9
"DIRAS3"	0.9
"GJD3"	0.9
"GNA11"	0.9
"IDO1"	0.9
"MAP1A"	0.9
"MUC7"	0.9
"NECTIN3"	0.9
"PLEKHG4"	0.9
"RASA4DP"	0.9
"RGPD8"	0.9
"RP11-1023L17.1"	0.9
"SRPX2"	0.9
"TMEM189-UBE2V1"	0.9
"ZDHHC11B"	0.9
"ZGLP1"	0.9
"AKT1"	0.89
"ANKHD1-EIF4EBP3"	0.89
"APLN"	0.89
"CTD-2522E6.4"	0.89
"DDX11L2"	0.89
"DOK1"	0.89
"EEF1A1P6"	0.89
"FAM98B"	0.89
"FBLN1"	0.89
"GLIPR1"	0.89
"GOLGA4"	0.89
"GTF2IP7"	0.89
"IL9R"	0.89
"KIAA1671"	0.89
"LOXL2"	0.89
"P4HA2"	0.89
"RGAG4"	0.89
"RP5-966M1.7"	0.89
"TBC1D3L"	0.89
"THBS1"	0.89
"ZC3H12A"	0.89
"AC009133.22"	0.88
"AL353898.1"	0.88
"ALCAM"	0.88
"APAF1"	0.88
"DNAH17"	0.88
"EFNB1"	0.88
"HERC2P2"	0.88
"IFIT6P"	0.88
"IGFBP3"	0.88
"KCNK2"	0.88
"KIF26B"	0.88
"NRG4"	0.88
"NTM"	0.88
"NXPH4"	0.88
"OAS2"	0.88
"PFN1P3"	0.88
"PROZ"	0.88
"RP11-548H18.2"	0.88
"RP11-693N9.2"	0.88
"SLFNL1"	0.88
"TFPI"	0.88
"TRIB3"	0.88
"ZFYVE26"	0.88
"ZNF613"	0.88
"ZNF876P"	0.88
"ACE"	0.87
"ADA"	0.87
"ATG4D"	0.87
"CDCA7L"	0.87
"CIITA"	0.87
"COL4A6"	0.87
"ELOVL4"	0.87
"GTPBP2"	0.87
"LOX"	0.87
"MMEL1"	0.87
"NFKBID"	0.87
"NYAP1"	0.87
"PCDHB8"	0.87
"PDE7A"	0.87
"RP1-130H16.18"	0.87
"RP11-399O19.9"	0.87
"RP5-857K21.4"	0.87
"SEPT14"	0.87
"SLIT3"	0.87
"SPOCD1"	0.87
"TRIM16"	0.87
"TTC12"	0.87
"VPS28"	0.87
"ZNF474"	0.87
"ANGPTL3"	0.86
"CALML4"	0.86
"CTD-2370N5.3"	0.86
"CTD-2550O8.5"	0.86
"DAAM2"	0.86
"DNAJC6"	0.86
"ERICH6"	0.86
"NXN"	0.86
"OR5A2"	0.86
"PLXNC1"	0.86
"RNASE4"	0.86
"RP11-553D4.2"	0.86
"SDCBP2"	0.86
"SELO"	0.86
"SLCO1A2"	0.86
"TOR1B"	0.86
"TUBA3FP"	0.86
"ABCA4"	0.85
"AGAP14"	0.85
"CNTNAP1"	0.85
"DSC3"	0.85
"FADS3"	0.85
"FAM86B1"	0.85
"FSCN1"	0.85
"IL6"	0.85
"LATS1"	0.85
"MAP2K2"	0.85
"PIM1"	0.85
"RDH5"	0.85
"RPL10P15"	0.85
"RPS6P20"	0.85
"SLC45A1"	0.85
"TNNC1"	0.85
"TVP23C-CDRT4"	0.85
"VSIG1"	0.85
"AC004556.1"	0.84
"ACAD11"	0.84
"ACSL3"	0.84
"BCO2"	0.84
"CDCP1"	0.84
"CDKN2B"	0.84
"CEP152"	0.84
"CREB3L1"	0.84
"FAM135B"	0.84
"HEY1"	0.84
"LINC01085"	0.84
"MTHFD1"	0.84
"MTMR7"	0.84
"PLPPR2"	0.84
"WI2-1896O14.1"	0.84
"YBX1P4"	0.84
"ZYG11A"	0.84
"AC109829.1"	0.83
"ANKRD28"	0.83
"BMP4"	0.83
"C1S"	0.83
"CCDC113"	0.83
"CNOT6L"	0.83
"DADB-127H9.10"	0.83
"GAS6"	0.83
"LARP1"	0.83
"MAMSTR"	0.83
"MVP"	0.83
"MYH15"	0.83
"PAQR7"	0.83
"PLEKHF1"	0.83
"PRR18"	0.83
"RP11-181C21.4"	0.83
"RP11-266I3.1"	0.83
"SPEF1"	0.83
"TRAF3IP2"	0.83
"ZFP2"	0.83
"ZIK1P1"	0.83
"AQP3"	0.82
"CNGA1"	0.82
"CTD-2510F5.6"	0.82
"EYA1"	0.82
"LRRC24"	0.82
"MLKL"	0.82
"OAS1"	0.82
"ORAI2"	0.82
"PTPRK"	0.82
"RP11-544M22.13"	0.82
"RP11-864I4.1"	0.82
"SACS"	0.82
"SLC9A3"	0.82
"SPTY2D1-AS1"	0.82
"STARD8"	0.82
"TDO2"	0.82
"UBE2L5P"	0.82
"VEGFA"	0.82
"ZBTB16"	0.82
"ZNF90P3"	0.82
"ADCY7"	0.81
"AHCTF1"	0.81
"CDS1"	0.81
"CUL4B"	0.81
"CXCR6"	0.81
"DCAF1"	0.81
"FBLIM1"	0.81
"KATNAL2"	0.81
"KCTD1"	0.81
"NELL2"	0.81
"RP11-613M10.8"	0.81
"RPGRIP1"	0.81
"TRIM7"	0.81
"UTY"	0.81
"AGAP6"	0.8
"C10orf10"	0.8
"C6orf52"	0.8
"CAPN9"	0.8
"CD74"	0.8
"DOK2"	0.8
"EVPL"	0.8
"G6PD"	0.8
"GPR63"	0.8
"HLA-F"	0.8
"ISG15"	0.8
"KIRREL2"	0.8
"LIMS3"	0.8
"LRP11"	0.8
"MOCOS"	0.8
"NAT16"	0.8
"PID1"	0.8
"POM121B"	0.8
"PTPRU"	0.8
"RP11-632K20.7"	0.8
"SERPINB8"	0.8
"SLC22A1"	0.8
"SLC38A4"	0.8
"SLC6A9"	0.8
"TMEM120B"	0.8
"ADAM28"	0.79
"CCDC157"	0.79
"CD28"	0.79
"CDH6"	0.79
"CFAP97"	0.79
"DHRS2"	0.79
"DLG4"	0.79
"GLIS1"	0.79
"MYC"	0.79
"NTHL1"	0.79
"PLGLB2"	0.79
"PRH1-PRR4"	0.79
"RP11-488L18.4"	0.79
"SLC16A12"	0.79
"STAT1"	0.79
"TRIOBP"	0.79
"TRPA1"	0.79
"ARHGAP4"	0.78
"CCL2"	0.78
"CDH13"	0.78
"CHST7"	0.78
"CP"	0.78
"DFFB"	0.78
"ENO3"	0.78
"EPDR1"	0.78
"ESPNL"	0.78
"FGF22"	0.78
"IFI27"	0.78
"MAPK15"	0.78
"NOS1"	0.78
"NUDT11"	0.78
"PRSS16"	0.78
"RNASE10"	0.78
"RNF215"	0.78
"RP11-456P18.2"	0.78
"S100A3"	0.78
"S1PR3"	0.78
"SHROOM2"	0.78
"SNTB1"	0.78
"THRB"	0.78
"CCBE1"	0.77
"CD276"	0.77
"IL17REL"	0.77
"KYAT1"	0.77
"NBPF6"	0.77
"PGPEP1"	0.77
"RP1-95L4.4"	0.77
"RP11-729L2.2"	0.77
"SNRPGP15"	0.77
"TUBA4A"	0.77
"ANKRD55"	0.76
"ASNS"	0.76
"BTC"	0.76
"CCDC152"	0.76
"DUSP4"	0.76
"FZD2"	0.76
"GPD1L"	0.76
"HEATR4"	0.76
"L3MBTL1"	0.76
"MGP"	0.76
"NMRAL1P1"	0.76
"PLEKHG5"	0.76
"POLD4"	0.76
"POTEI"	0.76
"PRKG1"	0.76
"PROX2"	0.76
"RP11-496H1.1"	0.76
"RP11-792A8.3"	0.76
"RPS9P1"	0.76
"SLC4A3"	0.76
"TES"	0.76
"TRAM1L1"	0.76
"USP49"	0.76
"AC009120.3"	0.75
"AK4"	0.75
"ANKDD1B"	0.75
"C4B"	0.75
"CD6"	0.75
"CDC20B"	0.75
"CMTM8"	0.75
"CORO7"	0.75
"CXCL2"	0.75
"ECHDC3"	0.75
"EEF1A1P12"	0.75
"EFCAB10"	0.75
"EXOC3L1"	0.75
"HOGA1"	0.75
"HSPE1P3"	0.75
"IL6ST"	0.75
"LCN15"	0.75
"LDB1"	0.75
"MFSD13B"	0.75
"NEURL1"	0.75
"SLC2A14"	0.75
"SLC43A3"	0.75
"SOAT2"	0.75
"TESMIN"	0.75
"XX-FW81066F1.2"	0.75
"ZBBX"	0.75
"ZNF653"	0.75
"BOD1"	0.74
"C1QTNF5"	0.74
"CA5BP1"	0.74
"CD4"	0.74
"COL12A1"	0.74
"FAM126A"	0.74
"FOXF1"	0.74
"GAPDHP61"	0.74
"GPR3"	0.74
"LFNG"	0.74
"LPCAT3"	0.74
"MAFK"	0.74
"NAA40"	0.74
"NT5C1B"	0.74
"PEX6"	0.74
"PLEKHM2"	0.74
"PRRG2"	0.74
"RP11-333I13.1"	0.74
"RP11-495P10.10"	0.74
"RP11-507K12.1"	0.74
"RPS9"	0.74
"TRIM21"	0.74
"UBE2H"	0.74
"USP32P3"	0.74
"ZNF365"	0.74
"ADCY3"	0.73
"AKAP6"	0.73
"ANGPT4"	0.73
"ARL4C"	0.73
"ARVCF"	0.73
"CADM1"	0.73
"CTHRC1"	0.73
"CTSA"	0.73
"DDAH2"	0.73
"DHDH"	0.73
"DYSF"	0.73
"EPHX2"	0.73
"EYA2"	0.73
"FRY"	0.73
"GBP1"	0.73
"GCOM1"	0.73
"GOLGA2P11"	0.73
"GOLGA7B"	0.73
"HCLS1"	0.73
"L1CAM"	0.73
"LDLR"	0.73
"MDN1"	0.73
"PHOSPHO1"	0.73
"PPP1R27"	0.73
"PSORS1C1"	0.73
"RP11-540D14.8"	0.73
"SFXN2"	0.73
"SH2D6"	0.73
"SLC9B2"	0.73
"SUGCT"	0.73
"TRPV2"	0.73
"ZNF239"	0.73
"ZNF772"	0.73
"AC090094.1"	0.72
"AC097523.1"	0.72
"CFAP126"	0.72
"CTSS"	0.72
"FAM101A"	0.72
"FAM221B"	0.72
"FHOD1"	0.72
"HYAL4"	0.72
"IGFN1"	0.72
"INHBE"	0.72
"KRT8P46"	0.72
"MARS"	0.72
"NPDC1"	0.72
"NR2F1"	0.72
"RP11-385D13.1"	0.72
"RP11-467J12.4"	0.72
"RP11-597G23.1"	0.72
"RPL32P29"	0.72
"SOX9"	0.72
"TGFBR1"	0.72
"TIAM2"	0.72
"TMCO6"	0.72
"TMEM88B"	0.72
"TNRC6C-AS1"	0.72
"ZFP92"	0.72
"CEP192"	0.71
"CHPF2"	0.71
"CLDN11"	0.71
"CNKSR1"	0.71
"DKKL1"	0.71
"GIPC2"	0.71
"GPR82"	0.71
"LCN12"	0.71
"MVK"	0.71
"MYO1H"	0.71
"NGEF"	0.71
"NLRP3"	0.71
"PPM1E"	0.71
"RAG1"	0.71
"RP11-474L23.3"	0.71
"RP11-540B6.2"	0.71
"SLC35C1"	0.71
"SPDYE2B"	0.71
"SPNS3"	0.71
"SQRDL"	0.71
"ZG16B"	0.71
"ZNF549"	0.71
