"geneID"	"FC_X"	"FC_Y.x"	"LogFC"	"FC_Y.y"
"PARM1"	2.41	2.41	0.66	1.04
"MT2A"	2.38	2.34	0.13	1.31
"FAM160A1"	2.37	0.78	-1.16	2.85
"PCSK2"	2.36	1.83	0.58	-0.83
"C3AR1"	2.35	0.39	1.83	0.21
"RP11-903H12.5"	2.34	-0.24	0.11	1.78
"TLE4"	2.34	1.56	-0.2	3.13
"VDR"	2.34	2.34	1.31	4.49
"HIVEP2"	2.33	1.11	0.11	1.12
"COL6A2"	2.31	1.42	1.5	3.75
"PTGFR"	2.31	1.95	1.39	1.17
"SUSD2"	2.3	2.43	1.84	0.86
"SLC26A2"	2.29	1.57	-0.08	-1.35
"PRKY"	2.28	0.92	0.34	2.42
"FAM8A1"	2.27	0.9	0.99	-0.76
"FAP"	2.27	1.14	1.06	5.92
"KMT2B"	2.27	1.03	-0.11	2.01
"PLA2G4B"	2.27	-0.27	-0.39	1.59
"TNFSF4"	2.27	1.6	-0.18	0.11
"DCN"	2.25	2.4	0.44	1.51
"PNPO"	2.24	2.6	0.17	2.05
"HSPA2"	2.23	1.24	0.02	2.06
"SNTB1"	2.23	0.82	0.78	2.9
"EID3"	2.22	1.71	0.3	3.94
"DSEL"	2.21	1.69	1.24	2.57
"LTBP2"	2.21	2.34	0.93	2.97
"PRR5L"	2.21	1.5	1.96	0.35
"LSP1"	2.2	2.53	2.78	1.09
"PDGFRA"	2.2	0.1	0.04	3.81
"TMEM110-MUSTN1"	2.2	2.91	-0.05	0.38
"CDKN1A"	2.19	0.67	0.69	2.53
"DCHS2"	2.19	1.49	0.08	0.29
"FAM65C"	2.17	-0.16	-0.65	1.52
"IFI44L"	2.17	0.01	1.45	5.14
"MTSS1"	2.16	0.7	0.63	4.49
"ANGPTL7"	2.15	1.29	-0.42	2.13
"MYCBP2"	2.14	1.22	0	1.38
"STC2"	2.14	1.52	1.19	5.1
"DDX60"	2.13	1.35	0.57	2.84
"SLC12A8"	2.13	1.42	1.65	5.73
"TIAM1"	2.13	2.09	-0.14	1.7
"AGAP13P"	2.12	1.16	1.57	0.02
"ANO3"	2.12	2.01	-0.12	0.12
"ARL4C"	2.12	1.45	0.73	6.01
"MUC6"	2.12	2.26	0	-0.14
"PLA2G2A"	2.12	2.12	0.99	0.23
"ANXA1"	2.11	1.39	0.44	4.58
"ARSE"	2.11	0.34	0.48	1.87
"C1orf106"	2.11	1.25	-0.08	0.79
"GRIP1"	2.11	1.98	-0.77	1.41
"SLC2A12"	2.11	2	0.3	2.28
"TRANK1"	2.11	0.33	2.14	0.68
"ARHGAP20"	2.1	1.6	1.09	-0.99
"CFH"	2.1	0.76	2.2	0.8
"NEDD9"	2.1	1.98	-0.54	1.73
"NEGR1"	2.1	1.48	0.37	4.72
"ALCAM"	2.09	0.99	0.88	3.22
"GAS6"	2.09	2.6	0.83	4.63
"JUN"	2.09	1.04	0.52	3.42
"VASH2"	2.09	0.5	-1.13	1.25
"AHDC1"	2.08	-0.34	0.32	1.28
"CCND3"	2.08	1.89	0.34	1.26
"PDK4"	2.08	1.59	-1.3	1.66
"LOXL1"	2.07	1.65	-0.63	1.42
"ADAM12"	2.06	0.25	1.84	-0.03
"CRIM1"	2.06	1.91	0.08	5.55
"FGF5"	2.06	1.28	-0.92	6.01
"KITLG"	2.05	0.65	0.24	2.61
"HS3ST3B1"	2.04	2.14	1.35	1.18
"PLEKHA6"	2.04	2.03	1.36	3.2
"ZNF527"	2.04	1.59	-0.31	1.88
"EHD2"	2.03	1.68	1.19	3.47
"ITLN2"	2.03	-0.08	-0.88	3.05
"AKR1C3"	2.02	1.8	1.35	2.11
"GBP3"	2.02	1.59	0.08	4
"SCUBE1"	2.02	0.89	-0.32	0.83
"CAV1"	2.01	1.69	0.63	3.13
"CDH13"	2.01	0.6	0.78	3.72
"IRS1"	2.01	1.99	0.59	3.5
"OSR2"	2.01	0.85	0.48	2.56
"ERRFI1"	2	1.53	0.12	4.21
"OR7A5"	2	2.75	0	-0.75
"VKORC1L1"	2	0.81	0.55	1.03
"AMMECR1L"	1.99	-1.56	2	0.17
"ANGPTL4"	1.99	1.97	-1.02	1.96
"TGFBR2"	1.99	0.74	-0.91	3.85
"AHNAK"	1.98	1.79	0.09	1.98
"SLC28A3"	1.98	1.39	0.49	0.06
"SRPX2"	1.97	0.43	0.9	2.99
"ANKRD24"	1.96	1.78	-0.92	2.05
"MAP3K5"	1.96	2.78	1.23	0.98
"SLC38A4"	1.96	1.81	0.8	1.85
"WFDC1"	1.96	0.61	-0.45	1.32
"BCL3"	1.95	0.72	0.02	2.98
"CCNI2"	1.95	1.7	0.04	0.56
"PTGER4"	1.95	0.57	0.23	1.74
"TRAF1"	1.95	1.58	-0.34	3.57
"KLHL4"	1.94	1.66	0.19	3.42
"EPSTI1"	1.93	0.84	1.03	2.79
"HSD17B2"	1.93	1.68	1.05	3.07
"PDCD1LG2"	1.93	1.93	0.41	4.03
"TXNIP"	1.93	1.91	-0.26	3.84
"WASH1"	1.93	2.23	1.55	-1.39
"AIM1"	1.92	0.77	-0.29	2.66
"COL6A1"	1.92	1.41	1.92	2.42
"FAM219A"	1.92	-0.33	-0.19	2.36
"PDGFC"	1.92	1.18	0.21	5.18
"PTGIR"	1.92	2.29	2.28	0.57
"ATOH8"	1.91	2.82	0.06	4.08
"MAST4"	1.91	0.61	-0.12	1.14
"PAG1"	1.91	1.13	-0.2	2.13
"PODNL1"	1.91	1	1.13	1.19
"WISP2"	1.91	1.82	1.51	6.44
"GTF2IP12"	1.9	1.76	-1.54	0.46
"PRH1-PRR4"	1.9	1.43	0.79	1.25
"RP1-122P22.2"	1.9	-0.26	0.61	1.67
"SFRP4"	1.9	1.94	2.6	4.53
"ZFP36"	1.9	1.69	0.54	1.49
"HSD11B1"	1.89	1.08	0.6	2.88
"ZNF525"	1.89	0.33	-0.2	1.07
"CNTNAP3"	1.88	1.22	0.01	2.95
"INMT"	1.88	1.51	1.93	0.85
"SPDYE15P"	1.88	0.11	-0.24	2.65
"APOL1"	1.87	0.5	0.7	2.61
"ARID5B"	1.87	1.51	-0.26	3.28
"DAPK2"	1.87	0.21	1	1.78
"TNC"	1.87	1.05	-0.03	4.58
"ABHD12B"	1.86	0.29	-0.43	1.96
"ZNF442"	1.86	0	-0.33	2.1
"CCDC54"	1.85	1.85	1.05	1.6
"PCOLCE"	1.85	1.29	1.65	2.24
"SLITRK2"	1.85	0.64	-1.59	2.52
"TAGLN"	1.85	0.53	-0.81	4.72
"AP006285.1"	1.84	0.47	-0.2	1.2
"GCNT1"	1.84	1.33	-0.04	3.96
"NSG1"	1.84	0.69	-2.42	1.43
"SLC44A3"	1.84	1.45	0.24	1.87
"ZFHX2"	1.84	0.25	0.7	0.14
"LMBRD1"	1.83	-0.04	-0.71	0.94
"MRO"	1.83	1.71	-1.5	0.37
"CDC42EP3"	1.82	1.29	-0.04	2.41
"NID2"	1.82	1.74	0.15	4.18
"PAQR7"	1.82	1.82	0.83	0
"PDE7B"	1.82	1.24	1.1	1.89
"RBFOX2"	1.82	1.2	0.39	3.83
"FMO2"	1.81	0.92	0	1
"LHFP"	1.81	1.56	0.26	1.72
"METTL7A"	1.81	1.29	0.54	1.74
"OGFRL1"	1.81	1.81	1.12	2.83
"ADAMTS1"	1.8	0.72	0.68	3.16
"APBB2"	1.8	0.77	0.13	2.16
"BCAR1"	1.8	-0.67	0.21	3.43
"C5AR1"	1.8	0.49	-1.27	1.5
"DAAM2"	1.8	2.15	0.86	0.13
"DPEP1"	1.8	0.51	-0.18	2.66
"FRAT1"	1.8	0.99	-0.85	0.2
"LDOC1"	1.8	1.45	0.48	0.07
"SCG2"	1.8	0.98	1.28	3.59
"TMEM100"	1.8	1.94	0.2	1.95
"BEND6"	1.79	0.34	0.24	3.02
"LARGE1"	1.79	0.23	-1.68	1.82
"NAIP"	1.79	0.13	-1.37	1.93
"RASL11B"	1.79	2.23	-0.03	0.1
"SERPINI1"	1.79	1.41	-0.27	1.73
"C10orf54"	1.78	1.27	2.13	1.39
"CFI"	1.78	1.04	1.37	3.59
"CXCL12"	1.78	1.78	-0.53	6.59
"KCNMB4"	1.78	0.48	-0.57	2.39
"KCTD19"	1.78	-0.39	-0.74	1.6
"SPDYE6"	1.78	1.79	-1.85	1.27
"TMEM86B"	1.78	0.21	0.61	1.23
"INHBA"	1.77	1.84	0.29	4.19
"KLF9"	1.77	1.03	-0.2	2.73
"MVP"	1.77	0.8	0.83	2.87
"PLCXD2"	1.77	0.03	-1.24	3.35
"PPFIA2"	1.77	1.82	0.39	4.23
"RDX"	1.77	0.88	-0.75	1.33
"GGACT"	1.76	1.66	1.37	0.17
"NPR3"	1.76	1.33	-0.24	0.51
"PLEKHS1"	1.76	2.02	-1.31	3.51
"APOBEC4"	1.75	1.46	0.68	0.97
"C1S"	1.75	1.8	0.83	4.3
"CACNA2D3"	1.75	1.27	-0.42	2.52
"DLL1"	1.75	1.75	0.12	2.22
"IFI27"	1.75	0.14	0.78	4.85
"PDE3A"	1.75	1.13	0.3	5.17
"SLC26A7"	1.75	1	-0.06	0.46
"SPINT2"	1.75	1.74	0.04	0.84
"JAG1"	1.74	1.2	0.53	1.45
"PER1"	1.74	1.55	-0.42	-0.79
"POM121L9P"	1.74	1.77	2.58	0.01
"PPP4R4"	1.74	0.49	-0.4	1.22
"CFB"	1.73	0.72	0.97	3.24
"FBXL22"	1.73	1.28	0.15	0.3
"FMO5"	1.73	1.56	0.67	0.22
"LAMP5"	1.73	1.15	0.33	5.02
"OLFM2"	1.73	0.54	1.53	2.62
"RBMXL1"	1.73	0.36	-0.21	1.48
"SOCS3"	1.73	2.3	-0.17	2.5
"SORBS1"	1.73	0.43	-0.32	1.38
"ZNF260"	1.73	0.55	-0.01	1.79
"ETV1"	1.72	0.94	0.6	1.29
"KCNJ13"	1.72	2.09	-1.19	-0.2
"MAP3K15"	1.72	0.54	-0.11	0.99
"NME5"	1.72	0.33	0.26	0.63
"RAPGEF3"	1.72	1.59	-0.67	1.54
"ZFP30"	1.72	1.6	-0.73	0.92
"AC145212.2"	1.71	0.93	0.54	1.91
"HES7"	1.71	1.55	0.33	0.29
"POMGNT2"	1.71	0.81	-0.25	1.32
"SERPINB2"	1.71	1.94	-0.01	7.75
"SPP1"	1.71	0.96	-0.78	3.16
"AGGF1P2"	1.7	0.14	-1.82	1.99
"RP5-1000K24.2"	1.7	-0.03	-1.51	3.11
"SAMD8"	1.7	0.36	-0.38	2.03
"TNK2"	1.7	0.92	-0.81	0.81
"AC002310.11"	1.69	0.72	-0.43	0.47
"AREG"	1.68	1.68	0	0
"COL12A1"	1.68	0.82	0.74	5
"FBLN1"	1.68	1.54	0.89	0.58
"JPH2"	1.68	1.7	-0.43	5.08
"ATP6V1G2-DDX39B"	1.67	1.9	0.47	-0.05
"COL5A2"	1.67	1.24	0.42	4.92
"DCLK1"	1.67	0.61	1.08	1.85
"GGT5"	1.67	1.62	1.35	-0.7
"SH3BGRL2"	1.67	1.86	-0.08	0.7
"SLC26A10"	1.67	1.52	0	-0.11
"SMAGP"	1.67	1.66	-0.34	2.56
"ZBTB11"	1.67	0.01	-0.8	1.67
"DHRS3"	1.66	1.03	-0.05	4.83
"KRT7"	1.66	1.39	1.38	1.98
"MARCH1"	1.66	-0.45	0.02	0.63
"MX2"	1.66	-0.12	-0.11	2.35
"RDH10"	1.66	0.95	-0.25	4.51
"MPP4"	1.65	1.3	-0.53	3.67
"SPOCD1"	1.65	1.59	0.87	4.87
"TXNRD1"	1.65	1.56	0.54	3.17
"C12orf50"	1.64	0.16	-0.37	1.33
"CD163L1"	1.64	1.89	0.04	2.76
"DPYD"	1.64	1.09	0.23	2.59
"ITGA1"	1.64	0.08	0.21	3.8
"KCNK3"	1.64	1.67	-1.83	2.02
"PARD3B"	1.64	0.95	-0.16	4.3
"ALS2CR11"	1.63	-0.33	0.61	2.09
"EN1"	1.63	1.56	-0.64	2.87
"FAM208B"	1.63	1.7	1.15	0.12
"SAG"	1.63	-0.5	-0.54	1.09
"ALPK2"	1.62	1.18	0.94	4.49
"BST2"	1.62	0.47	1.11	4.47
"CXCL3"	1.62	1.69	0.91	0.64
"HTN1"	1.62	1.16	-0.89	1.95
"PRKCA"	1.62	1.64	0.62	3.34
"ZNF569"	1.62	1.18	0.09	0.93
"ABCA1"	1.61	0.5	1.33	1.88
"AC090094.1"	1.61	3.2	0.72	2.66
"ACSM5"	1.61	1.53	0.14	-1.01
"ARHGEF26"	1.61	1.88	-0.52	0.82
"EIF3CL"	1.61	1.61	-0.09	1.7
"GPR39"	1.61	1.61	0.44	4.25
"OR5A2"	1.61	0.85	0.86	0.24
"CPB1"	1.6	1.28	0.21	0.74
"ELL2"	1.6	0.71	0.12	2.34
"HTRA4"	1.6	-0.09	-1.19	1.77
"MUC19"	1.6	1.14	-0.53	-0.58
"PCDHB10"	1.6	1	0.92	2.25
"RPL21P75"	1.6	1.6	-0.69	0.69
"SIX1"	1.6	0.39	-1	1.09
"TACC2"	1.6	1.54	-0.07	2.02
"ZNF845"	1.6	1.15	0.36	0.73
"ADAMTS5"	1.59	1.17	1.1	1.92
"C10orf107"	1.59	1.08	-1.48	1.94
"IP6K3"	1.59	1.71	1.83	0.51
"NTRK2"	1.59	1.28	1.29	1.13
"OR7D2"	1.59	0.64	0.45	1.04
"BCORL1"	1.58	0.71	0.65	1.45
"RP11-745O10.4"	1.58	1.94	2.43	-1.12
"ZFP14"	1.58	1.91	-1.29	0.12
"ZNF658B"	1.58	0.41	0.33	0.77
"FTH1P20"	1.57	1.54	0.15	0.95
"MMP19"	1.57	1.57	0.97	2.42
"SOCS1"	1.57	2.17	0.48	2.61
"CRISPLD2"	1.56	1.58	0.36	5.3
"GTF2H2B"	1.56	1.19	0.29	0.94
"HECTD2"	1.56	0.5	0.43	1.91
"KNDC1"	1.56	1.86	-0.88	0.59
"LOXL2"	1.56	2.02	0.89	5.3
"SLC1A2"	1.56	1.36	0.24	0.4
"ADAMTSL1"	1.55	0.97	-0.29	5.96
"ITGB5"	1.55	1.06	0.22	1.93
"MAGEC1"	1.55	1.55	0.35	0
"PTGS1"	1.55	0.37	1.24	1.74
"RP11-138H10.2"	1.55	0.47	-0.55	0.76
"IFT122"	1.54	0.34	-0.1	1.75
"KYNU"	1.54	0.76	-0.02	0.9
"PLGLB2"	1.54	0.1	0.79	0.22
"SMIM3"	1.54	1.43	1.35	1.42
"CLSTN2"	1.53	1.35	0.03	0.2
"CYP2E1"	1.53	-0.58	-0.54	0.9
"DCDC2"	1.53	0.55	-0.38	-1
"GDF5"	1.53	2.15	1.1	4.89
"KCNK2"	1.53	1.7	0.88	3.82
"MRC2"	1.53	1.99	1.06	2.67
"RP1-130H16.18"	1.53	-0.18	0.87	0
"RP11-44D5.1"	1.53	1.29	0.96	0.34
"RP11-651P23.4"	1.53	-0.06	0.14	0.73
"WASH4P"	1.53	-0.38	0.25	1.41
"ARRDC2"	1.52	0.52	-0.12	1.08
"BCL6"	1.52	0.81	0.5	2.48
"CNTN1"	1.52	0.14	-0.96	1.35
"DNAJC6"	1.52	0.95	0.86	1.74
"FAM101A"	1.52	1.03	0.72	4.2
"GNG11"	1.52	1.22	0.25	3.05
"LIN7A"	1.52	1.14	-1.13	2.44
"LRRK2"	1.52	0.43	1.15	0.24
"SIAE"	1.52	1.28	-0.11	2.11
"HES2"	1.51	0.67	-0.72	1.42
"JUP"	1.51	1.58	1.46	0.84
"MMP24"	1.51	0.25	-0.3	2.23
"NOXRED1"	1.51	0.61	-0.91	1
"TPM1"	1.51	1.59	0.3	4.61
"ATR"	1.5	0.76	0.02	0.94
"DUSP1"	1.5	1.46	0.2	-0.21
"FAM157B"	1.5	-0.39	-0.5	0.56
"GOLGA8N"	1.5	0.17	0.19	0.87
"ITGA3"	1.5	1.4	0.35	3.12
"LINC01085"	1.5	1.02	0.84	2.89
"NDRG1"	1.5	0.82	0.52	1.09
"NKX2-1"	1.5	1.5	-0.29	0.49
"PRDM1"	1.5	1.11	-0.71	2.42
"RAB27B"	1.5	-0.79	0.43	5.11
"TSPAN5"	1.5	1.69	0.21	2.7
"VEGFC"	1.5	0.53	-0.3	4.38
"AC090945.1"	1.49	0.25	0.6	0.8
"PTCH2"	1.49	0.29	0.4	0.31
"RP11-540B6.6"	1.49	0.38	0	-0.16
"ABC14-864958H18.2"	1.48	0.99	-0.65	1.28
"AL135787.1"	1.48	0.42	-0.52	1.91
"C9orf3"	1.48	1.41	0.5	1.92
"ELK3"	1.48	0.89	0.6	1.24
"HSPE1-MOB4"	1.48	2.34	0.92	0.16
"KLRD1"	1.48	1.37	-0.37	0.3
"LRRC37A17P"	1.48	0	0.25	1.18
"MAP1A"	1.48	0.61	0.9	2.09
"ROR2"	1.48	1.31	1.6	1.48
"TACR1"	1.48	1.35	1.08	0.37
"CDK13"	1.47	0.71	-0.81	0.75
"DPP10"	1.47	1.19	0.59	-0.26
"NCOA7"	1.47	-0.34	0.39	1.6
"SAMD5"	1.47	1.1	0.58	1.76
"TANC2"	1.47	-0.21	-0.76	2.53
"WNT11"	1.47	1.1	0.66	0
"BICC1"	1.46	1.54	0.49	2.53
"CTB-119C2.1"	1.46	0.6	-0.59	2.23
"DDAH1"	1.46	1.43	0.03	4.72
"NFKBIA"	1.46	1.15	0.04	1.18
"PDGFD"	1.46	0.85	1.1	-1.78
"PTPRU"	1.46	-0.33	0.8	0.03
"STC1"	1.46	0.16	-0.24	2.15
"TGFB3"	1.46	0.84	1.14	0.72
"COL4A6"	1.45	1.23	0.87	0.53
"ENOX1"	1.45	0.84	-0.6	1.37
"FAM171A1"	1.45	1.13	-0.61	2.72
"LEPR"	1.45	1.3	1.4	0.05
"MAMLD1"	1.45	0.76	-0.12	5.56
"SLAMF8"	1.45	0.72	0.1	0.13
"TPO"	1.45	1.3	-0.21	0.39
"UNKL"	1.45	0.68	-0.21	1.67
"ZNF257"	1.45	1.73	0.24	-0.03
"ADAMTS7"	1.44	1.17	0.15	1.88
"BDNF"	1.44	0.16	-0.38	4.62
"CASK"	1.44	-0.03	-1.14	1.19
"EML1"	1.44	0.6	-0.7	2.07
"FAM177A1"	1.44	1.18	-0.42	0.4
"FRMD3"	1.44	1.24	-0.46	-0.68
"PTGS2"	1.44	0.78	0.59	0.95
"RBM15"	1.44	0.15	-0.39	1.86
"RNF148"	1.44	-0.08	-0.75	0.75
"SLC25A21"	1.44	0.87	-0.03	0.59
"ADAMTS15"	1.43	1.43	0.5	3.81
"AKR1C1"	1.43	-0.73	0.69	1.61
"CLCN4"	1.43	1.97	1.18	0.95
"HEPACAM2"	1.43	0.76	-0.78	1.13
"KLHL3"	1.43	0.77	-0.16	1.25
"PLCL1"	1.43	0.1	-0.6	1.42
"PNLIPRP1"	1.43	0.04	-0.51	0.11
"RAB3D"	1.43	0.57	0.46	1.5
"RP11-410L14.1"	1.43	0.59	-0.27	0.65
"TENM2"	1.43	-0.28	-1.41	4.26
"CCDC92"	1.42	1.14	0.55	1.46
"CLEC4E"	1.42	0.52	0.39	0.57
"CMTM8"	1.42	1.28	0.75	-0.37
"FAM114A1"	1.42	0.5	0.33	1.37
"IGLV1-51"	1.42	0.15	-0.61	1.65
"ITGA8"	1.42	1.06	-0.57	3.58
"AVIL"	1.41	1.25	-0.43	0.81
"CYP2D8P"	1.41	0.8	-0.23	0.23
"HOXC8"	1.41	0.48	0.25	1.48
"NEXN"	1.41	1.62	0.61	3.36
"P2RX6"	1.41	0.75	0.67	1.68
"RP11-507K12.1"	1.41	1.41	0.74	0
"SDK2"	1.41	3.93	-3.94	1.01
"SLC8A1"	1.41	-0.29	-0.57	3.94
"KLF2P4"	1.4	1.67	0.01	-0.07
"NR2F1"	1.4	0.85	0.72	3.34
"RP11-302B13.5"	1.4	0.47	-0.9	1.99
"RP11-69E11.4"	1.4	0.53	0.19	0.3
"SLC1A3"	1.4	1.46	0.66	-0.58
"SORBS2"	1.4	0.53	0.07	2.21
"B3GALT2"	1.39	0.68	-0.01	1.61
"CNTNAP1"	1.39	0.09	0.85	1.65
"CTC-428H11.2"	1.39	-0.14	-0.93	1.7
"DOCK8"	1.39	2.05	-1.78	0.92
"ENPP2"	1.39	0.86	1.36	3.17
"FAM186B"	1.39	-0.31	-0.55	0.78
"HIST4H4"	1.39	0.04	0.12	0.9
"HRCT1"	1.39	1.21	0.41	2.24
"HSPB7"	1.39	1.39	-0.03	2.61
"IQUB"	1.39	1.3	0.14	0.52
"KIAA0513"	1.39	0.93	0.55	1.91
"KIF26B"	1.39	1.4	0.88	3.68
"KSR2"	1.39	1.01	-1.17	4.88
"MFAP5"	1.39	0.52	-0.91	1.33
"NMRAL1P1"	1.39	1.12	0.76	0.48
"NTRK3"	1.39	0.57	-0.48	2.2
"PGM2L1"	1.39	0.17	0.06	2.45
"PITPNM2"	1.39	1.45	-0.14	1.96
"PTK2B"	1.39	0.7	0.11	0.56
"SYT1"	1.39	0.43	-0.03	1.52
"TRIM8"	1.39	3	-0.11	-0.92
"UBAP1L"	1.39	0.03	-0.43	0.89
"ADD3"	1.38	1.09	0.66	1.73
"BEST3"	1.38	0.3	-0.02	0.77
"CLOCK"	1.38	0.57	0.24	1.55
"FGF7"	1.38	-0.08	-0.37	6.01
"HIPK3"	1.38	0.72	-0.53	1.88
"IL6"	1.38	1.58	0.85	4.58
"KCND3"	1.38	1.23	0.34	3.79
"LGR4"	1.38	0.65	-0.21	1.88
"LIME1"	1.38	0.34	0.11	0.59
"LMO7"	1.38	1.2	-0.28	4.3
"PCDHB16"	1.38	0.61	0.02	2.19
"RAB21"	1.38	0.38	0.16	1.27
"SLC25A24P2"	1.38	0.13	0.4	1.18
"ZNF660"	1.38	0.59	-0.4	0.69
"ZNF705A"	1.38	1.2	-0.72	0.88
"ADGRB1"	1.37	0.43	-0.06	0.18
"CTD-2353F22.2"	1.37	1.05	0.42	0.48
